dictionary_entry_id,word,english_definition,bucket,mapping_status,annotation_created_at,annotation_updated_at,pipeline_ambiguity_correct,pipeline_bucket_correct,reviewer_concept_label,reviewer_decision,reviewer_definition,reviewer_notes,reviewer_metadata
b4631412-3d95-4c9e-b9c2-666effc7d80d,ameno,teeth,A,proposed,2026-08-13T00:10:46.236700+00:00,2026-08-13T00:11:23.095610+00:00,YES,YES,,ACCEPT_SIMPLE,,,"{""code"": ""MA"", ""date"": ""2026-08-12"", ""dialect_expertise"": ""Tsotso"", ""name"": ""Moody Amakobe"", ""notes"": """"}"
1a8881ca-eecb-424f-94b6-5735c9b4f6d5,amaatsi,water,A,proposed,2026-08-13T00:11:35.037136+00:00,2026-08-13T00:12:10.898155+00:00,YES,YES,,ACCEPT_VARIANT,,,"{""code"": ""MA"", ""date"": ""2026-08-12"", ""dialect_expertise"": ""Tsotso"", ""name"": ""Moody Amakobe"", ""notes"": """"}"
9f08aa79-8dce-4315-a787-76770fb8c11c,amatsi,water,A,proposed,2026-08-13T00:12:14.876352+00:00,2026-08-13T00:12:21.869046+00:00,YES,YES,,ACCEPT_VARIANT,,,"{""code"": ""MA"", ""date"": ""2026-08-12"", ""dialect_expertise"": ""Tsotso"", ""name"": ""Moody Amakobe"", ""notes"": """"}"
b4f8f176-eafe-4ffc-b0bb-0fae40344451,likofi,debt,C,needs_split,2026-08-13T00:12:36.639289+00:00,2026-08-13T00:12:44.110998+00:00,YES,YES,,SPLIT_SENSES,,,"{""code"": ""MA"", ""date"": ""2026-08-12"", ""dialect_expertise"": ""Tsotso"", ""name"": ""Moody Amakobe"", ""notes"": """"}"
d23caccb-7276-436f-ad32-5378c90afced,likofi,navel; umbilicus; placenta,C,needs_split,2026-08-13T00:12:51.365945+00:00,2026-08-13T00:12:56.284902+00:00,YES,YES,,SPLIT_SENSES,,,"{""code"": ""MA"", ""date"": ""2026-08-12"", ""dialect_expertise"": ""Tsotso"", ""name"": ""Moody Amakobe"", ""notes"": """"}"
86d14aa7-1fdc-425d-b312-54629d750ba3,ingwe,leopard,C,needs_split,2026-08-13T00:13:24.938639+00:00,2026-08-13T00:13:30.574698+00:00,YES,YES,,SPLIT_SENSES,,,"{""code"": ""MA"", ""date"": ""2026-08-12"", ""dialect_expertise"": ""Tsotso"", ""name"": ""Moody Amakobe"", ""notes"": """"}"
bae35351-9b2b-44ff-89d8-85f35849dbd0,ingwe,a plant whose very severe ash is used for healing the wounds of boys who have been circumcised,C,needs_split,2026-08-13T00:13:37.755005+00:00,2026-08-13T00:13:43.560421+00:00,YES,YES,,SPLIT_SENSES,,,"{""code"": ""MA"", ""date"": ""2026-08-12"", ""dialect_expertise"": ""Tsotso"", ""name"": ""Moody Amakobe"", ""notes"": """"}"
4b619137-fd5c-4507-9816-a77f4f717275,okhufwa,"die, be unconscious, be in a weak and apparently dying condition",C,needs_split,2026-08-13T00:16:48.104049+00:00,2026-08-13T00:16:53.215113+00:00,YES,YES,,SPLIT_SENSES,,,"{""code"": ""MA"", ""date"": ""2026-08-12"", ""dialect_expertise"": ""Tsotso"", ""name"": ""Moody Amakobe"", ""notes"": """"}"
c58fc4fc-e12c-4ab8-99ea-2a8badfa0c59,okhufwa,shine (of sunlight),C,needs_split,2026-08-13T00:16:59.997318+00:00,2026-08-13T00:17:06.747033+00:00,YES,YES,,SPLIT_SENSES,,,"{""code"": ""MA"", ""date"": ""2026-08-12"", ""dialect_expertise"": ""Tsotso"", ""name"": ""Moody Amakobe"", ""notes"": """"}"
a774e12e-5fac-4abc-a467-d3d6d0d11a84,libafu,bath (<Swahili),C,needs_split,2026-08-13T00:28:37.579492+00:00,2026-08-13T00:30:30.130882+00:00,YES,YES,,SPLIT_SENSES,,,"{""code"": ""MA"", ""date"": ""2026-08-12"", ""dialect_expertise"": ""Tsotso"", ""name"": ""Moody Amakobe"", ""notes"": """"}"
aa7d2483-d4bf-4fc0-a094-8d12bec97e5f,libafu,procession of safari ants,C,needs_split,2026-08-13T00:30:35.003535+00:00,2026-08-13T00:30:40.041280+00:00,YES,YES,,SPLIT_SENSES,,,"{""code"": ""MA"", ""date"": ""2026-08-12"", ""dialect_expertise"": ""Tsotso"", ""name"": ""Moody Amakobe"", ""notes"": """"}"
43627e35-94c9-4d53-b3e0-169186b44bf7,induli,succulent fruit as big as indula,C,needs_split,2026-08-13T00:31:35.689521+00:00,2026-08-13T00:31:45.476141+00:00,YES,YES,,SPLIT_SENSES,,,"{""code"": ""MA"", ""date"": ""2026-08-12"", ""dialect_expertise"": ""Tsotso"", ""name"": ""Moody Amakobe"", ""notes"": """"}"
e5264646-de71-4364-b457-e8b01ab4857c,induli,rebellion; mutiny,C,needs_split,2026-08-13T00:31:48.999000+00:00,2026-08-13T00:31:54.910539+00:00,YES,YES,,SPLIT_SENSES,,,"{""code"": ""MA"", ""date"": ""2026-08-12"", ""dialect_expertise"": ""Tsotso"", ""name"": ""Moody Amakobe"", ""notes"": """"}"
802eeb59-f5af-48a0-b836-98568df46ed2,okhubala,"shine, of sunshine (rare)",C,needs_split,2026-08-13T00:32:22.915927+00:00,2026-08-13T00:33:11.719474+00:00,UNSURE,UNSURE,,NEEDS_EXPERT,,,"{""code"": ""MA"", ""date"": ""2026-08-12"", ""dialect_expertise"": ""Tsotso"", ""name"": ""Moody Amakobe"", ""notes"": """"}"
9777393b-5815-430b-948a-9bd1d1c5f9c6,okhubala,count,C,needs_split,2026-08-13T00:33:40.996264+00:00,2026-08-13T00:33:48.407042+00:00,UNSURE,UNSURE,,NEEDS_EXPERT,,,"{""code"": ""MA"", ""date"": ""2026-08-12"", ""dialect_expertise"": ""Tsotso"", ""name"": ""Moody Amakobe"", ""notes"": """"}"
e3e31f84-9cc7-480b-9426-51525e2d0928,okhuluma,bite; pain; copulate (of rooster); inzala inuma 'I am hungry' (lit. 'hunger is biting me'); inda inuma 'my stomach is aching' (lit. 'the stomach is biting me'); yalumwa okhwibula 'she was in labour' (lit. 'she has been bitten by giving birth'),C,needs_split,2026-08-13T00:34:53.228446+00:00,2026-08-13T00:35:19.883563+00:00,YES,YES,,SPLIT_SENSES,,,"{""code"": ""MA"", ""date"": ""2026-08-12"", ""dialect_expertise"": ""Tsotso"", ""name"": ""Moody Amakobe"", ""notes"": """"}"
1b33613c-776b-4bd8-9187-8f6c803cf5d1,imere,"grain, millet and/or obule",C,needs_split,2026-08-13T00:35:45.143592+00:00,2026-08-13T00:35:53.260264+00:00,YES,YES,,SPLIT_SENSES,,,"{""code"": ""MA"", ""date"": ""2026-08-12"", ""dialect_expertise"": ""Tsotso"", ""name"": ""Moody Amakobe"", ""notes"": """"}"
028493c0-6fb1-401e-bfde-0aec56cef8c5,okhusasara,itch; sting; burn,C,needs_split,2026-08-13T00:36:12.112041+00:00,2026-08-13T00:36:21.695240+00:00,UNSURE,UNSURE,,NEEDS_EXPERT,,,"{""code"": ""MA"", ""date"": ""2026-08-12"", ""dialect_expertise"": ""Tsotso"", ""name"": ""Moody Amakobe"", ""notes"": """"}"
002fc13b-6ddb-406f-9e29-4b83df8959cf,okhuuyibwa,"be expelled; be turned out of one’s house, or out of the district; be compelled to move",C,needs_split,2026-08-13T00:36:30.934516+00:00,2026-08-13T00:36:36.823939+00:00,UNSURE,UNSURE,,NEEDS_EXPERT,,,"{""code"": ""MA"", ""date"": ""2026-08-12"", ""dialect_expertise"": ""Tsotso"", ""name"": ""Moody Amakobe"", ""notes"": """"}"
034138f1-634d-451d-afd5-6a800eb5312c,khulwenyu,for your part; on your account,C,needs_split,2026-08-13T00:36:44.712800+00:00,2026-08-13T00:37:07.787525+00:00,UNSURE,UNSURE,,ACCEPT_SIMPLE,,,"{""code"": ""MA"", ""date"": ""2026-08-12"", ""dialect_expertise"": ""Tsotso"", ""name"": ""Moody Amakobe"", ""notes"": """"}"
39bac743-999d-44b3-b19a-c9b2314c7351,omulembe,peace,A,proposed,2026-08-13T00:37:12.036764+00:00,2026-08-13T00:37:40.557438+00:00,YES,YES,,ACCEPT_SIMPLE,,,"{""code"": ""MA"", ""date"": ""2026-08-12"", ""dialect_expertise"": ""Tsotso"", ""name"": ""Moody Amakobe"", ""notes"": """"}"
5a534f97-76b4-4e88-9f2b-f404ea9d4225,okhwikonya,examine oneself,A,proposed,2026-08-13T00:37:55.776981+00:00,2026-08-13T00:38:02.035552+00:00,YES,YES,,ACCEPT_SIMPLE,,,"{""code"": ""MA"", ""date"": ""2026-08-12"", ""dialect_expertise"": ""Tsotso"", ""name"": ""Moody Amakobe"", ""notes"": """"}"
b4290741-cb8d-47a5-a6a8-7eb4a25ed7c7,okhuruta,rub hard,A,proposed,2026-08-13T00:38:14.576239+00:00,2026-08-13T00:38:22.508827+00:00,YES,YES,,ACCEPT_SIMPLE,,,"{""code"": ""MA"", ""date"": ""2026-08-12"", ""dialect_expertise"": ""Tsotso"", ""name"": ""Moody Amakobe"", ""notes"": """"}"
dfb6779f-60ad-4904-b5fc-bd15fd67059f,okhubasibwa,be counted,A,proposed,2026-08-13T00:38:35.204433+00:00,2026-08-13T00:38:40.697542+00:00,YES,YES,,ACCEPT_SIMPLE,,,"{""code"": ""MA"", ""date"": ""2026-08-12"", ""dialect_expertise"": ""Tsotso"", ""name"": ""Moody Amakobe"", ""notes"": """"}"
946fcc5b-601f-42a0-b6f9-e3e7bf564ad0,amalia,marriages,A,proposed,2026-08-13T00:38:57.544451+00:00,2026-08-13T00:39:02.368617+00:00,UNSURE,UNSURE,,NEEDS_EXPERT,,,"{""code"": ""MA"", ""date"": ""2026-08-12"", ""dialect_expertise"": ""Tsotso"", ""name"": ""Moody Amakobe"", ""notes"": """"}"
0f03ca2c-94cf-49e2-8c0e-2ed70bbfb499,okhwibirira,forget,A,proposed,2026-08-13T00:39:07.960532+00:00,2026-08-13T00:39:20.369762+00:00,YES,YES,,ACCEPT_SIMPLE,,,"{""code"": ""MA"", ""date"": ""2026-08-12"", ""dialect_expertise"": ""Tsotso"", ""name"": ""Moody Amakobe"", ""notes"": """"}"
2ab9a200-5110-4427-bedb-3d7135e80012,ingokho yeshitakho,large hen,A,proposed,2026-08-13T00:39:43.214397+00:00,2026-08-13T00:39:55.680003+00:00,UNSURE,UNSURE,,NEEDS_EXPERT,,,"{""code"": ""MA"", ""date"": ""2026-08-12"", ""dialect_expertise"": ""Tsotso"", ""name"": ""Moody Amakobe"", ""notes"": """"}"
400f0637-61a6-4d8e-bd77-75ec32e472ee,tsinimi tsiambanga,foreign languages,A,proposed,2026-08-13T00:40:09.916881+00:00,2026-08-13T00:40:17.994158+00:00,YES,YES,,ACCEPT_SIMPLE,,,"{""code"": ""MA"", ""date"": ""2026-08-12"", ""dialect_expertise"": ""Tsotso"", ""name"": ""Moody Amakobe"", ""notes"": """"}"
22c1d229-988b-4fab-8e9e-e6673e6e5055,amatsukhu,lungs,A,proposed,2026-08-13T00:40:23.841440+00:00,2026-08-13T00:40:30.107218+00:00,YES,YES,,ACCEPT_SIMPLE,,,"{""code"": ""MA"", ""date"": ""2026-08-12"", ""dialect_expertise"": ""Tsotso"", ""name"": ""Moody Amakobe"", ""notes"": """"}"
d2bd4d21-0076-4fcd-bfaf-62f148dc3ab4,okhusikama,kneel,A,proposed,2026-08-13T00:41:01.563386+00:00,2026-08-13T00:41:26.677048+00:00,YES,YES,,ACCEPT_SIMPLE,,,"{""code"": ""MA"", ""date"": ""2026-08-12"", ""dialect_expertise"": ""Tsotso"", ""name"": ""Moody Amakobe"", ""notes"": """"}"
c2204078-209c-417c-8963-4a1a7fdff163,eshisukuti,biscuit,A,proposed,2026-08-13T00:41:42.879761+00:00,2026-08-13T00:41:48.761329+00:00,UNSURE,UNSURE,,NEEDS_EXPERT,,,"{""code"": ""MA"", ""date"": ""2026-08-12"", ""dialect_expertise"": ""Tsotso"", ""name"": ""Moody Amakobe"", ""notes"": """"}"
8cd77ee0-aeb2-4033-897f-1d44e7f54445,omulinjishi,righteous man,A,proposed,2026-08-13T00:41:54.509588+00:00,2026-08-13T00:41:58.560721+00:00,UNSURE,UNSURE,,NEEDS_EXPERT,,,"{""code"": ""MA"", ""date"": ""2026-08-12"", ""dialect_expertise"": ""Tsotso"", ""name"": ""Moody Amakobe"", ""notes"": """"}"
b5fae70e-4587-46ee-b644-8ced48c1500c,eshifundesano,head-cold,A,proposed,2026-08-13T00:42:06.501791+00:00,2026-08-13T00:42:11.148097+00:00,UNSURE,UNSURE,,NEEDS_EXPERT,,,"{""code"": ""MA"", ""date"": ""2026-08-12"", ""dialect_expertise"": ""Tsotso"", ""name"": ""Moody Amakobe"", ""notes"": """"}"
39f204c2-d1fb-4d93-add6-0e6937611553,-samukhu,unclean,A,proposed,2026-08-13T00:42:15.436162+00:00,2026-08-13T00:42:19.735876+00:00,UNSURE,UNSURE,,NEEDS_EXPERT,,,"{""code"": ""MA"", ""date"": ""2026-08-12"", ""dialect_expertise"": ""Tsotso"", ""name"": ""Moody Amakobe"", ""notes"": """"}"
ceb05f04-1a91-4dfb-8b1b-3f3e5733403e,lifumo,spear,A,proposed,2026-08-13T00:42:24.257034+00:00,2026-08-13T00:42:31.623679+00:00,YES,YES,,ACCEPT_SIMPLE,,,"{""code"": ""MA"", ""date"": ""2026-08-12"", ""dialect_expertise"": ""Tsotso"", ""name"": ""Moody Amakobe"", ""notes"": """"}"
ce92900d-f94c-4f2a-b0fe-9efbe80893e3,eshirikisa,hiccup,A,proposed,2026-08-13T00:42:38.829590+00:00,2026-08-13T00:42:50.023222+00:00,UNSURE,UNSURE,,NEEDS_EXPERT,,,"{""code"": ""MA"", ""date"": ""2026-08-12"", ""dialect_expertise"": ""Tsotso"", ""name"": ""Moody Amakobe"", ""notes"": """"}"
62a11d90-8be9-46a5-a0c4-973dfc3c0ac5,olubeka,side,A,proposed,2026-08-13T00:43:06.427191+00:00,2026-08-13T00:43:28.428926+00:00,UNSURE,UNSURE,,SPLIT_SENSES,,,"{""code"": ""MA"", ""date"": ""2026-08-12"", ""dialect_expertise"": ""Tsotso"", ""name"": ""Moody Amakobe"", ""notes"": """"}"
25c77510-45ef-458e-b6d0-cb8980944dda,inguche,baboon,A,proposed,2026-08-13T00:43:36.170855+00:00,2026-08-13T00:44:27.010363+00:00,YES,YES,,ACCEPT_SIMPLE,,,"{""code"": ""MA"", ""date"": ""2026-08-12"", ""dialect_expertise"": ""Tsotso"", ""name"": ""Moody Amakobe"", ""notes"": """"}"
b6913eed-cf41-4e79-a38a-6e5b0ce8d3f7,okhwarasia,split,A,proposed,2026-08-13T00:44:42.007939+00:00,2026-08-13T00:44:49.126140+00:00,UNSURE,UNSURE,,NEEDS_EXPERT,,,"{""code"": ""MA"", ""date"": ""2026-08-12"", ""dialect_expertise"": ""Tsotso"", ""name"": ""Moody Amakobe"", ""notes"": """"}"
3fc79f95-4c65-445c-b994-b8f447c34128,okhumwenya,smile,A,proposed,2026-08-13T00:44:58.886360+00:00,2026-08-13T00:45:36.031600+00:00,YES,YES,,ACCEPT_SIMPLE,,,"{""code"": ""MA"", ""date"": ""2026-08-12"", ""dialect_expertise"": ""Tsotso"", ""name"": ""Moody Amakobe"", ""notes"": """"}"
ff69983b-88e9-4367-95d5-458ce280a2b3,okhukwalasia,level,A,proposed,2026-08-13T00:45:45.408417+00:00,2026-08-13T00:45:51.104507+00:00,UNSURE,UNSURE,,NEEDS_EXPERT,,,"{""code"": ""MA"", ""date"": ""2026-08-12"", ""dialect_expertise"": ""Tsotso"", ""name"": ""Moody Amakobe"", ""notes"": """"}"
223b842d-0213-4374-9e3a-1002aa194f2b,okhwama,bear fruit,A,proposed,2026-08-13T00:45:57.717271+00:00,2026-08-13T00:46:02.250538+00:00,UNSURE,UNSURE,,NEEDS_EXPERT,,,"{""code"": ""MA"", ""date"": ""2026-08-12"", ""dialect_expertise"": ""Tsotso"", ""name"": ""Moody Amakobe"", ""notes"": """"}"
7837b6e0-b925-4185-9457-93c5cb6386ad,olukulu/eshikulu,mountain,A,proposed,2026-08-13T00:46:10.282258+00:00,2026-08-13T00:46:20.549813+00:00,UNSURE,UNSURE,,SPLIT_SENSES,,,"{""code"": ""MA"", ""date"": ""2026-08-12"", ""dialect_expertise"": ""Tsotso"", ""name"": ""Moody Amakobe"", ""notes"": """"}"
7f60b203-d142-4727-85b6-4cf13abbf7c7,amatsi kaire,hot water,A,proposed,2026-08-13T00:46:26.338512+00:00,2026-08-13T00:46:34.512232+00:00,YES,YES,,ACCEPT_SIMPLE,,,"{""code"": ""MA"", ""date"": ""2026-08-12"", ""dialect_expertise"": ""Tsotso"", ""name"": ""Moody Amakobe"", ""notes"": """"}"
513d9c65-d64a-46e9-b939-8da4db34c4a1,ne khandi,emphatic colloquial affirmative,A,proposed,2026-08-13T00:46:51.601113+00:00,2026-08-13T00:46:58.269326+00:00,UNSURE,UNSURE,,SPLIT_SENSES,,,"{""code"": ""MA"", ""date"": ""2026-08-12"", ""dialect_expertise"": ""Tsotso"", ""name"": ""Moody Amakobe"", ""notes"": """"}"
