dictionary_entry_id,concept_id,proposed_concept_key,proposed_definition_en,mapping_source,confidence,mapping_status,evidence
001053cd-383f-4da4-abc6-aa80e57fe556,,,project; protude; stick out,rule_based,0.45,needs_split,"{""classification"": {""ambiguity_action"": ""likely_split"", ""ambiguity_indicators"": [""semicolon_segments""], ""ambiguity_segments"": [""project"", ""protude"", ""stick out""], ""bucket"": ""C"", ""distinct_definition_count"": 1, ""heuristic_flags"": [], ""mapping_status"": ""needs_split"", ""repeated_form_count"": 1, ""same_definition_form_count"": 1}, ""config_hash"": ""833081d75140ab6558112d1085c2c6eec419386fa831873605c2138823d7a20a"", ""existing_concept_suggestions"": [], ""pipeline_version"": ""0.1.0"", ""proposal"": {""confidence_components"": [""unique_normalized_form"", ""stable_pos"", ""unique_definition"", ""sense_punctuation""], ""confidence_is_calibrated_probability"": false, ""domain"": null, ""heuristic_confidence"": 0.45, ""proposed_concept_key"": null, ""proposed_definition_en"": ""project; protude; stick out""}, ""reason_codes"": [""AMBIGUITY_SIGNAL"", ""SEMICOLON_SEGMENTS""], ""schema_version"": ""pipeline-001-evidence-v1"", ""source"": {""dialect_id"": ""928f469a-360c-49f1-8af2-006165673090"", ""dialect_name"": ""Luwanga"", ""dictionary_entry_id"": ""001053cd-383f-4da4-abc6-aa80e57fe556"", ""english_definition"": ""project; protude; stick out"", ""language_name"": ""Luhya"", ""noun_class"": null, ""part_of_speech"": ""v.int."", ""word"": ""okhutsoba"", ""word_normalized"": ""okhutsoba""}}"
002898b3-bc9e-4b40-b307-7882621617d5,,,something arranged; list,rule_based,0.45,needs_split,"{""classification"": {""ambiguity_action"": ""likely_split"", ""ambiguity_indicators"": [""semicolon_segments""], ""ambiguity_segments"": [""something arranged"", ""list""], ""bucket"": ""C"", ""distinct_definition_count"": 1, ""heuristic_flags"": [], ""mapping_status"": ""needs_split"", ""repeated_form_count"": 1, ""same_definition_form_count"": 1}, ""config_hash"": ""833081d75140ab6558112d1085c2c6eec419386fa831873605c2138823d7a20a"", ""existing_concept_suggestions"": [], ""pipeline_version"": ""0.1.0"", ""proposal"": {""confidence_components"": [""unique_normalized_form"", ""stable_pos"", ""unique_definition"", ""sense_punctuation""], ""confidence_is_calibrated_probability"": false, ""domain"": null, ""heuristic_confidence"": 0.45, ""proposed_concept_key"": null, ""proposed_definition_en"": ""something arranged; list""}, ""reason_codes"": [""AMBIGUITY_SIGNAL"", ""SEMICOLON_SEGMENTS""], ""schema_version"": ""pipeline-001-evidence-v1"", ""source"": {""dialect_id"": ""928f469a-360c-49f1-8af2-006165673090"", ""dialect_name"": ""Luwanga"", ""dictionary_entry_id"": ""002898b3-bc9e-4b40-b307-7882621617d5"", ""english_definition"": ""something arranged; list"", ""language_name"": ""Luhya"", ""noun_class"": null, ""part_of_speech"": ""n."", ""word"": ""olwanziro"", ""word_normalized"": ""olwanziro""}}"
002af502-07b0-4f11-aa46-61ddb1b19eea,,,maker; potter; creator; omulonji aliranga khuluchyo 'the potter eats from a potsherd',rule_based,0.45,needs_split,"{""classification"": {""ambiguity_action"": ""likely_split"", ""ambiguity_indicators"": [""semicolon_segments""], ""ambiguity_segments"": [""maker"", ""potter"", ""creator"", ""omulonji aliranga khuluchyo 'the potter eats from a potsherd'""], ""bucket"": ""C"", ""distinct_definition_count"": 1, ""heuristic_flags"": [], ""mapping_status"": ""needs_split"", ""repeated_form_count"": 1, ""same_definition_form_count"": 1}, ""config_hash"": ""833081d75140ab6558112d1085c2c6eec419386fa831873605c2138823d7a20a"", ""existing_concept_suggestions"": [], ""pipeline_version"": ""0.1.0"", ""proposal"": {""confidence_components"": [""unique_normalized_form"", ""stable_pos"", ""unique_definition"", ""sense_punctuation""], ""confidence_is_calibrated_probability"": false, ""domain"": null, ""heuristic_confidence"": 0.45, ""proposed_concept_key"": null, ""proposed_definition_en"": ""maker; potter; creator; omulonji aliranga khuluchyo 'the potter eats from a potsherd'""}, ""reason_codes"": [""AMBIGUITY_SIGNAL"", ""SEMICOLON_SEGMENTS""], ""schema_version"": ""pipeline-001-evidence-v1"", ""source"": {""dialect_id"": ""928f469a-360c-49f1-8af2-006165673090"", ""dialect_name"": ""Luwanga"", ""dictionary_entry_id"": ""002af502-07b0-4f11-aa46-61ddb1b19eea"", ""english_definition"": ""maker; potter; creator; omulonji aliranga khuluchyo 'the potter eats from a potsherd'"", ""language_name"": ""Luhya"", ""noun_class"": null, ""part_of_speech"": ""n."", ""word"": ""omulonji"", ""word_normalized"": ""omulonji""}}"
002fc13b-6ddb-406f-9e29-4b83df8959cf,,,"be expelled; be turned out of one’s house, or out of the district; be compelled to move",rule_based,0.45,needs_split,"{""classification"": {""ambiguity_action"": ""likely_split"", ""ambiguity_indicators"": [""semicolon_segments"", ""standalone_or""], ""ambiguity_segments"": [""be expelled"", ""be turned out of one’s house, or out of the district"", ""be compelled to move""], ""bucket"": ""C"", ""distinct_definition_count"": 1, ""heuristic_flags"": [], ""mapping_status"": ""needs_split"", ""repeated_form_count"": 1, ""same_definition_form_count"": 1}, ""config_hash"": ""833081d75140ab6558112d1085c2c6eec419386fa831873605c2138823d7a20a"", ""existing_concept_suggestions"": [], ""pipeline_version"": ""0.1.0"", ""proposal"": {""confidence_components"": [""unique_normalized_form"", ""stable_pos"", ""unique_definition"", ""sense_punctuation""], ""confidence_is_calibrated_probability"": false, ""domain"": null, ""heuristic_confidence"": 0.45, ""proposed_concept_key"": null, ""proposed_definition_en"": ""be expelled; be turned out of one’s house, or out of the district; be compelled to move""}, ""reason_codes"": [""AMBIGUITY_SIGNAL"", ""SEMICOLON_SEGMENTS"", ""STANDALONE_OR""], ""schema_version"": ""pipeline-001-evidence-v1"", ""source"": {""dialect_id"": ""928f469a-360c-49f1-8af2-006165673090"", ""dialect_name"": ""Luwanga"", ""dictionary_entry_id"": ""002fc13b-6ddb-406f-9e29-4b83df8959cf"", ""english_definition"": ""be expelled; be turned out of one’s house, or out of the district; be compelled to move"", ""language_name"": ""Luhya"", ""noun_class"": null, ""part_of_speech"": ""v.pass."", ""word"": ""okhuuyibwa"", ""word_normalized"": ""okhuuyibwa""}}"
0039a156-800d-4465-bdf5-ad051b37ea98,,,beat; hit,rule_based,0.45,needs_split,"{""classification"": {""ambiguity_action"": ""likely_split"", ""ambiguity_indicators"": [""semicolon_segments""], ""ambiguity_segments"": [""beat"", ""hit""], ""bucket"": ""C"", ""distinct_definition_count"": 1, ""heuristic_flags"": [], ""mapping_status"": ""needs_split"", ""repeated_form_count"": 1, ""same_definition_form_count"": 1}, ""config_hash"": ""833081d75140ab6558112d1085c2c6eec419386fa831873605c2138823d7a20a"", ""existing_concept_suggestions"": [], ""pipeline_version"": ""0.1.0"", ""proposal"": {""confidence_components"": [""unique_normalized_form"", ""stable_pos"", ""unique_definition"", ""sense_punctuation""], ""confidence_is_calibrated_probability"": false, ""domain"": null, ""heuristic_confidence"": 0.45, ""proposed_concept_key"": null, ""proposed_definition_en"": ""beat; hit""}, ""reason_codes"": [""AMBIGUITY_SIGNAL"", ""SEMICOLON_SEGMENTS""], ""schema_version"": ""pipeline-001-evidence-v1"", ""source"": {""dialect_id"": ""928f469a-360c-49f1-8af2-006165673090"", ""dialect_name"": ""Luwanga"", ""dictionary_entry_id"": ""0039a156-800d-4465-bdf5-ad051b37ea98"", ""english_definition"": ""beat; hit"", ""language_name"": ""Luhya"", ""noun_class"": null, ""part_of_speech"": ""v.tr."", ""word"": ""okhupa"", ""word_normalized"": ""okhupa""}}"
0054c688-cf98-40e6-bdf3-25a9eaa94686,,,shrill cry made by women when dancing,rule_based,0.5,proposed,"{""classification"": {""ambiguity_action"": null, ""ambiguity_indicators"": [], ""ambiguity_segments"": [], ""bucket"": ""B"", ""distinct_definition_count"": 1, ""heuristic_flags"": [""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""simple_definition"", ""unique_form_meaning""], ""mapping_status"": ""proposed"", ""repeated_form_count"": 1, ""same_definition_form_count"": 2}, ""config_hash"": ""833081d75140ab6558112d1085c2c6eec419386fa831873605c2138823d7a20a"", ""existing_concept_suggestions"": [], ""pipeline_version"": ""0.1.0"", ""proposal"": {""confidence_components"": [""unique_normalized_form"", ""stable_pos"", ""definition_reused""], ""confidence_is_calibrated_probability"": false, ""domain"": null, ""heuristic_confidence"": 0.5, ""proposed_concept_key"": null, ""proposed_definition_en"": ""shrill cry made by women when dancing""}, ""reason_codes"": [""DEFINITION_REUSED"", ""QUICK_HUMAN_REVIEW""], ""schema_version"": ""pipeline-001-evidence-v1"", ""source"": {""dialect_id"": ""928f469a-360c-49f1-8af2-006165673090"", ""dialect_name"": ""Luwanga"", ""dictionary_entry_id"": ""0054c688-cf98-40e6-bdf3-25a9eaa94686"", ""english_definition"": ""shrill cry made by women when dancing"", ""language_name"": ""Luhya"", ""noun_class"": null, ""part_of_speech"": ""n."", ""word"": ""olukalakala"", ""word_normalized"": ""olukalakala""}}"
006a71d7-ab07-4223-9374-119c354ea896,,,"a grave, open. When it has been filled in it is called eshirindwa",rule_based,0.7,proposed,"{""classification"": {""ambiguity_action"": null, ""ambiguity_indicators"": [], ""ambiguity_segments"": [], ""bucket"": ""B"", ""distinct_definition_count"": 1, ""heuristic_flags"": [""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""unique_form_meaning""], ""mapping_status"": ""proposed"", ""repeated_form_count"": 1, ""same_definition_form_count"": 1}, ""config_hash"": ""833081d75140ab6558112d1085c2c6eec419386fa831873605c2138823d7a20a"", ""existing_concept_suggestions"": [], ""pipeline_version"": ""0.1.0"", ""proposal"": {""confidence_components"": [""unique_normalized_form"", ""stable_pos"", ""unique_definition""], ""confidence_is_calibrated_probability"": false, ""domain"": null, ""heuristic_confidence"": 0.7, ""proposed_concept_key"": null, ""proposed_definition_en"": ""a grave, open. When it has been filled in it is called eshirindwa""}, ""reason_codes"": [""QUICK_HUMAN_REVIEW""], ""schema_version"": ""pipeline-001-evidence-v1"", ""source"": {""dialect_id"": ""928f469a-360c-49f1-8af2-006165673090"", ""dialect_name"": ""Luwanga"", ""dictionary_entry_id"": ""006a71d7-ab07-4223-9374-119c354ea896"", ""english_definition"": ""a grave, open. When it has been filled in it is called eshirindwa"", ""language_name"": ""Luhya"", ""noun_class"": null, ""part_of_speech"": ""n."", ""word"": ""ing'ani"", ""word_normalized"": ""ing'ani""}}"
007ca5e3-f89b-4be6-ac36-cc12483cce74,,,"loneliness; great, expectant longing for someone who does not come",rule_based,0.25,needs_split,"{""classification"": {""ambiguity_action"": ""likely_split"", ""ambiguity_indicators"": [""contextual_language"", ""semicolon_segments""], ""ambiguity_segments"": [""loneliness"", ""great, expectant longing for someone who does not come""], ""bucket"": ""C"", ""distinct_definition_count"": 1, ""heuristic_flags"": [""context_marker:one who""], ""mapping_status"": ""needs_split"", ""repeated_form_count"": 1, ""same_definition_form_count"": 1}, ""config_hash"": ""833081d75140ab6558112d1085c2c6eec419386fa831873605c2138823d7a20a"", ""existing_concept_suggestions"": [], ""pipeline_version"": ""0.1.0"", ""proposal"": {""confidence_components"": [""unique_normalized_form"", ""stable_pos"", ""unique_definition"", ""sense_punctuation"", ""contextual_definition""], ""confidence_is_calibrated_probability"": false, ""domain"": null, ""heuristic_confidence"": 0.25, ""proposed_concept_key"": null, ""proposed_definition_en"": ""loneliness; great, expectant longing for someone who does not come""}, ""reason_codes"": [""AMBIGUITY_SIGNAL"", ""CONTEXTUAL_LANGUAGE"", ""SEMICOLON_SEGMENTS""], ""schema_version"": ""pipeline-001-evidence-v1"", ""source"": {""dialect_id"": ""928f469a-360c-49f1-8af2-006165673090"", ""dialect_name"": ""Luwanga"", ""dictionary_entry_id"": ""007ca5e3-f89b-4be6-ac36-cc12483cce74"", ""english_definition"": ""loneliness; great, expectant longing for someone who does not come"", ""language_name"": ""Luhya"", ""noun_class"": null, ""part_of_speech"": ""n."", ""word"": ""eshiyungo"", ""word_normalized"": ""eshiyungo""}}"
007e68a6-2f89-42b0-8137-e60ecc737632,,,rainbow,rule_based,0.85,proposed,"{""classification"": {""ambiguity_action"": null, ""ambiguity_indicators"": [], ""ambiguity_segments"": [], ""bucket"": ""A"", ""distinct_definition_count"": 1, ""heuristic_flags"": [""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""short_definition"", ""simple_definition"", ""unique_form_meaning""], ""mapping_status"": ""proposed"", ""repeated_form_count"": 1, ""same_definition_form_count"": 1}, ""config_hash"": ""833081d75140ab6558112d1085c2c6eec419386fa831873605c2138823d7a20a"", ""existing_concept_suggestions"": [], ""pipeline_version"": ""0.1.0"", ""proposal"": {""confidence_components"": [""unique_normalized_form"", ""short_single_sense"", ""stable_pos"", ""unique_definition""], ""confidence_is_calibrated_probability"": false, ""domain"": null, ""heuristic_confidence"": 0.85, ""proposed_concept_key"": null, ""proposed_definition_en"": ""rainbow""}, ""reason_codes"": [""STRUCTURALLY_CLEAN"", ""NO_POLYSEMY_SIGNAL""], ""schema_version"": ""pipeline-001-evidence-v1"", ""source"": {""dialect_id"": ""928f469a-360c-49f1-8af2-006165673090"", ""dialect_name"": ""Luwanga"", ""dictionary_entry_id"": ""007e68a6-2f89-42b0-8137-e60ecc737632"", ""english_definition"": ""rainbow"", ""language_name"": ""Luhya"", ""noun_class"": null, ""part_of_speech"": ""n."", ""word"": ""olulindi"", ""word_normalized"": ""olulindi""}}"
007f25b6-1539-4c25-aca1-a83fcc856b9e,,,sp. of tree,rule_based,0.65,proposed,"{""classification"": {""ambiguity_action"": null, ""ambiguity_indicators"": [], ""ambiguity_segments"": [], ""bucket"": ""B"", ""distinct_definition_count"": 1, ""heuristic_flags"": [""compatible_definition_pos"", ""definition_present"", ""normalized_word_present"", ""not_broad_gloss"", ""part_of_speech_present"", ""short_definition"", ""unique_form_meaning""], ""mapping_status"": ""proposed"", ""repeated_form_count"": 1, ""same_definition_form_count"": 2}, ""config_hash"": ""833081d75140ab6558112d1085c2c6eec419386fa831873605c2138823d7a20a"", ""existing_concept_suggestions"": [], ""pipeline_version"": ""0.1.0"", ""proposal"": {""confidence_components"": [""unique_normalized_form"", ""short_single_sense"", ""stable_pos"", ""definition_reused""], ""confidence_is_calibrated_probability"": false, ""domain"": null, ""heuristic_confidence"": 0.65, ""proposed_concept_key"": null, ""proposed_definition_en"": ""sp. of tree""}, ""reason_codes"": [""DEFINITION_REUSED"", ""QUICK_HUMAN_REVIEW""], ""schema_version"": ""pipeline-001-evidence-v1"", ""source"": {""dialect_id"": ""928f469a-360c-49f1-8af2-006165673090"", ""dialect_name"": ""Luwanga"", ""dictionary_entry_id"": ""007f25b6-1539-4c25-aca1-a83fcc856b9e"", ""english_definition"": ""sp. of tree"", ""language_name"": ""Luhya"", ""noun_class"": null, ""part_of_speech"": ""n."", ""word"": ""omukomari"", ""word_normalized"": ""omukomari""}}"
